,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
15,Danilo Gallinari,OFFENSIVE_REBOUND,None,10:00,3,Clippers,Grizzlies,46 - 68,1,N/A,N/A,N/A
16,Danilo Gallinari,FG_UNASSISTED,None,10:00,3,Clippers,Grizzlies,46 - 70,1, ,3,Jumper
17,Tyler Dorsey,FG_MISS,Shai Gilgeous-Alexander,9:41,3,Clippers,Grizzlies,46 - 70,0,14,3,Jumper
18,Patrick Beverley,DEFENSIVE_REBOUND,None,9:39,3,Clippers,Grizzlies,46 - 70,1,N/A,N/A,N/A
19,Landry Shamet,FG_MISS,None,9:31,3,Clippers,Grizzlies,46 - 70,1,25,3,Jumper
20,Team,OFFENSIVE_REBOUND,None,9:29,3,Clippers,Grizzlies,46 - 70,1,N/A,N/A,N/A
21,Landry Shamet,FG_MISS,None,9:27,3,Clippers,Grizzlies,46 - 70,1,25,3,Jumper
22,Delon Wright,DEFENSIVE_REBOUND,None,9:25,3,Grizzlies,Clippers,46 - 70,0,N/A,N/A,N/A
23,Jonas Valanciunas,FG_MISS,None,9:20,3,Grizzlies,Clippers,46 - 70,0,26,3,Jumper
24,Danilo Gallinari,DEFENSIVE_REBOUND,None,9:16,3,Clippers,Grizzlies,46 - 70,1,N/A,N/A,N/A
25,Danilo Gallinari,FOUL_ON_FLOOR,None,9:12,3,Clippers,Grizzlies,46 - 70,1,N/A,N/A,N/A
26,Danilo Gallinari,TURNOVER,None,9:12,3,Clippers,Grizzlies,46 - 70,1,N/A,N/A,N/A
27,Delon Wright,FG_ASSISTED,Bruno Caboclo,8:55,3,Grizzlies,Clippers,49 - 70,0,26,3,Jumper
28,Danilo Gallinari,FG_UNASSISTED,None,8:29,3,Clippers,Grizzlies,49 - 73,1,25,3,Jumper
29,Delon Wright,FG_UNASSISTED,None,8:13,3,Grizzlies,Clippers,51 - 73,0,12,3,Jumper
30,Ivica Zubac,FG_ASSISTED,Patrick Beverley,7:56,3,Clippers,Grizzlies,51 - 75,1,6,3,Jumper
31,Shai Gilgeous-Alexander,FOUL_ON_FLOOR,None,7:46,3,Clippers,Grizzlies,51 - 75,1,N/A,N/A,N/A
32,Delon Wright,FT,None,7:46,3,Grizzlies,Clippers,52 - 75,0,N/A,1,N/A
33,Julian Washburn,SUBSTITUTION,Caboclo Bruno,7:46,3,Grizzlies,Clippers,52 - 75,0,N/A,N/A,N/A
34,Delon Wright,FT,None,7:46,3,Grizzlies,Clippers,53 - 75,0,N/A,1,N/A
35,Patrick Beverley,TURNOVER,None,7:33,3,Clippers,Grizzlies,53 - 75,1,N/A,N/A,N/A
36,Jonas Valanciunas,TURNOVER,Landry Shamet,7:17,3,Grizzlies,Clippers,53 - 75,0,N/A,N/A,N/A
37,Shai Gilgeous-Alexander,FG_MISS,None,7:10,3,Clippers,Grizzlies,53 - 75,1,18,3,Jumper
38,Jonas Valanciunas,DEFENSIVE_REBOUND,None,7:07,3,Grizzlies,Clippers,53 - 75,0,N/A,N/A,N/A
39,Jonas Valanciunas,FOUL_ON_FLOOR,None,6:59,3,Grizzlies,Clippers,53 - 75,0,N/A,N/A,N/A
40,Jonas Valanciunas,TURNOVER,None,6:59,3,Grizzlies,Clippers,53 - 75,0,N/A,N/A,N/A
41,Ivica Zubac,FOUL_ON_FLOOR,None,6:46,3,Clippers,Grizzlies,53 - 75,1,N/A,N/A,N/A
42,Ivica Zubac,TURNOVER,None,6:46,3,Clippers,Grizzlies,53 - 75,1,N/A,N/A,N/A
43,Justin Holiday,FG_MISS,None,6:22,3,Grizzlies,Clippers,53 - 75,0,23,3,Jumper
44,Landry Shamet,DEFENSIVE_REBOUND,None,6:17,3,Clippers,Grizzlies,53 - 75,1,N/A,N/A,N/A
45,Team,Unknown,None,6:16,3,Clippers,Grizzlies,53 - 75,1,N/A,N/A,N/A
46,Ivan Rabb,SUBSTITUTION,Valanciunas Jonas,6:16,3,Grizzlies,Clippers,53 - 75,0,N/A,N/A,N/A
