,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
85,Tim Hardaway,FT_MISS,None,2:00,1,Knicks,Hornets,19 - 25,0,N/A,1,N/A
86,Team,OFFENSIVE_REBOUND,None,2:00,1,Knicks,Hornets,19 - 25,0,N/A,N/A,N/A
87,Damyean Dotson,SUBSTITUTION,Hardaway Tim,2:00,1,Knicks,Hornets,19 - 25,0,N/A,N/A,N/A
88,Michael Kidd-Gilchrist,FOUL_ON_FLOOR,None,1:53,1,Hornets,Knicks,19 - 25,1,N/A,N/A,N/A
89,Mario Hezonja,FG_MISS,None,1:38,1,Knicks,Hornets,19 - 25,0, ,2,Jumper
90,Mitchell Robinson,OFFENSIVE_REBOUND,None,1:32,1,Knicks,Hornets,19 - 25,0,N/A,N/A,N/A
91,Mitchell Robinson,FG_UNASSISTED,None,1:32,1,Knicks,Hornets,21 - 25,0,0,2,Dunk
92,Malik Monk,SUBSTITUTION,Batum Nicolas,1:14,1,Hornets,Knicks,21 - 25,1,N/A,N/A,N/A
93,Miles Bridges,TURNOVER,Mitchell Robinson,1:11,1,Hornets,Knicks,21 - 25,1,N/A,N/A,N/A
94,Damyean Dotson,FG_ASSISTED,Kevin Knox,1:05,1,Knicks,Hornets,24 - 25,0,26,3,Jumper
95,Tony Parker,FG_UNASSISTED,None,51.7,1,Hornets,Knicks,24 - 27,1,7,2,Jumper
96,Allonzo Trier,FOUL_ON_FLOOR,None,51.7,1,Knicks,Hornets,24 - 27,0,N/A,N/A,N/A
97,Tony Parker,FT,None,51.7,1,Hornets,Knicks,24 - 28,1,N/A,1,N/A
98,Mario Hezonja,FG_MISS,None,30.5,1,Knicks,Hornets,24 - 28,0,29,3,Jumper
99,Malik Monk,DEFENSIVE_REBOUND,None,24.3,1,Hornets,Knicks,24 - 28,1,N/A,N/A,N/A
100,Willy Hernangomez,FG_ASSISTED,Tony Parker,8.3,1,Hornets,Knicks,24 - 30,1,0,2,Dunk
101,Mario Hezonja,TURNOVER,Michael Kidd-Gilchrist,0.0,1,Knicks,Hornets,24 - 30,0,N/A,N/A,N/A
102,Michael Kidd-Gilchrist,FG_MISS,None,0.0,1,Hornets,Knicks,24 - 30,1,54,3,Jumper
103,Team,OFFENSIVE_REBOUND,None,0.0,1,Hornets,Knicks,24 - 30,1,N/A,N/A,N/A
104,End of,Unknown,None,0.0,1,Hornets,Knicks,24 - 30,1,N/A,N/A,N/A
0,Kadeem Allen,SUBSTITUTION,Knox Kevin,12:00,2,Knicks,Hornets,24 - 30,0,N/A,N/A,N/A
1,Mitchell Robinson,FG_ASSISTED,Allonzo Trier,11:43,2,Knicks,Hornets,26 - 30,0,0,2,Dunk
2,Malik Monk,FG_MISS,None,11:30,2,Hornets,Knicks,26 - 30,1,28,3,Jumper
3,Willy Hernangomez,OFFENSIVE_REBOUND,None,11:27,2,Hornets,Knicks,26 - 30,1,N/A,N/A,N/A
4,Willy Hernangomez,FG_MISS,Mitchell Robinson,11:27,2,Knicks,Hornets,26 - 30,1,3,2,Jumper
5,Team,OFFENSIVE_REBOUND,None,11:27,2,Hornets,Knicks,26 - 30,1,N/A,N/A,N/A
6,Willy Hernangomez,FG_ASSISTED,Malik Monk,11:20,2,Hornets,Knicks,26 - 32,1,0,2,Layup
7,Mitchell Robinson,Unknown,None,11:20,2,Knicks,Hornets,26 - 32,0,N/A,N/A,N/A
8,Allonzo Trier,FG_MISS,None,11:05,2,Knicks,Hornets,26 - 32,0,0,2,Layup
9,Willy Hernangomez,DEFENSIVE_REBOUND,None,11:03,2,Hornets,Knicks,26 - 32,1,N/A,N/A,N/A
10,Miles Bridges,FG_ASSISTED,Tony Parker,11:00,2,Hornets,Knicks,26 - 34,1, ,2,Jumper
11,Damyean Dotson,FOUL_ON_FLOOR,None,11:00,2,Knicks,Hornets,26 - 34,0,N/A,N/A,N/A
12,Miles Bridges,FT_MISS,None,11:00,2,Hornets,Knicks,26 - 34,1,N/A,1,N/A
13,Mario Hezonja,DEFENSIVE_REBOUND,None,10:56,2,Knicks,Hornets,26 - 34,0,N/A,N/A,N/A
14,Willy Hernangomez,FOUL_TECHNICAL,None,10:48,2,Hornets,Knicks,26 - 34,1,N/A,N/A,N/A
15,Damyean Dotson,FT_MISS,None,10:48,2,Knicks,Hornets,26 - 34,0,N/A,1,N/A
